id,document_id,month_tag,created_at,updated_at,published_at,created_by_id,updated_by_id,locale
1,pxo5oehiq9qv0sk1jwu75tco,January,2025-07-23 21:22:33.147000,2025-07-23 21:22:33.147000,,1,1,
2,pxo5oehiq9qv0sk1jwu75tco,January,2025-07-23 21:22:33.147000,2025-07-23 21:22:33.147000,2025-07-23 21:22:33.162000,1,1,
3,xpr77a2ale1o63517dvui4nn,February,2025-07-23 21:22:39.918000,2025-07-23 21:22:39.918000,,1,1,
4,xpr77a2ale1o63517dvui4nn,February,2025-07-23 21:22:39.918000,2025-07-23 21:22:39.918000,2025-07-23 21:22:39.931000,1,1,
5,de5ju2u6idp9q6tn6jn12o0b,March,2025-07-23 21:22:45.062000,2025-07-23 21:22:45.062000,,1,1,
6,de5ju2u6idp9q6tn6jn12o0b,March,2025-07-23 21:22:45.062000,2025-07-23 21:22:45.062000,2025-07-23 21:22:45.075000,1,1,
7,d31yoh1tx1sjdka1wwbnrlrp,April,2025-07-23 21:22:49.349000,2025-07-23 21:22:49.349000,,1,1,
8,d31yoh1tx1sjdka1wwbnrlrp,April,2025-07-23 21:22:49.349000,2025-07-23 21:22:49.349000,2025-07-23 21:22:49.357000,1,1,
9,fx6x318ymk5eg0qubk1xrimh,May,2025-07-23 21:22:53.377000,2025-07-23 21:22:53.377000,,1,1,
10,fx6x318ymk5eg0qubk1xrimh,May,2025-07-23 21:22:53.377000,2025-07-23 21:22:53.377000,2025-07-23 21:22:53.387000,1,1,
11,ta6ehybugs2k6chicv3vhy7j,June,2025-07-23 21:22:58.956000,2025-07-23 21:22:58.956000,,1,1,
12,ta6ehybugs2k6chicv3vhy7j,June,2025-07-23 21:22:58.956000,2025-07-23 21:22:58.956000,2025-07-23 21:22:58.964000,1,1,
13,tmup188cbemk0xlosaha256f,July,2025-07-23 21:23:03.343000,2025-07-23 21:23:03.343000,,1,1,
14,tmup188cbemk0xlosaha256f,July,2025-07-23 21:23:03.343000,2025-07-23 21:23:03.343000,2025-07-23 21:23:03.351000,1,1,
15,zlgag3j7dxhnkasdi7a7rjft,August,2025-07-23 21:23:07.779000,2025-07-23 21:23:07.779000,,1,1,
16,zlgag3j7dxhnkasdi7a7rjft,August,2025-07-23 21:23:07.779000,2025-07-23 21:23:07.779000,2025-07-23 21:23:07.792000,1,1,
17,z6p1fnvy6den9ncyfgyjgbcn,September,2025-07-23 21:23:11.959000,2025-07-23 21:23:11.959000,,1,1,
18,z6p1fnvy6den9ncyfgyjgbcn,September,2025-07-23 21:23:11.959000,2025-07-23 21:23:11.959000,2025-07-23 21:23:11.967000,1,1,
19,gtcxf0jnn2ojuj9x0fqw3x3k,October,2025-07-23 21:23:18.666000,2025-07-23 21:23:18.666000,,1,1,
20,gtcxf0jnn2ojuj9x0fqw3x3k,October,2025-07-23 21:23:18.666000,2025-07-23 21:23:18.666000,2025-07-23 21:23:18.673000,1,1,
21,f5ntzd24ekxr8gdm8g9db3o1,November,2025-07-23 21:23:22.336000,2025-07-23 21:23:22.336000,,1,1,
22,f5ntzd24ekxr8gdm8g9db3o1,November,2025-07-23 21:23:22.336000,2025-07-23 21:23:22.336000,2025-07-23 21:23:22.346000,1,1,
23,cmkm8qxyil4azvek0m8tpru7,December,2025-07-23 21:23:26.888000,2025-07-23 21:23:26.888000,,1,1,
24,cmkm8qxyil4azvek0m8tpru7,December,2025-07-23 21:23:26.888000,2025-07-23 21:23:26.888000,2025-07-23 21:23:26.896000,1,1,
